Blog	four	looking	second	here	reported	k	music	until	example	want	feature	series	re	written	wasn	service	project	tech	saying	release	best	country	asked	much	life	things	had	possible	right	old	fox	continue	o	support	happy	offer	back	inside	time	leave	team	love	working	such	data	years	didn	internet	million	quite	open	city	future	san	turned	say	take	drive	ways	going	where	many	wants	photos	technology	being	around	world	power	industry	favorite	image	her	site	am	original	tv	th	large	small	past	hours	experience	social	via	company	science	states	its	always	found	really	major	number	guess	self	also	play	cover	set	see	movie	let	whole	community	recent	person	using	readers	couple	d	link	line	us	ago	land	age	came	having	results	young	send	try	video	great	makes	tools	next	process	high	doing	books	could	put	start	system	haven	face	fact	should	hope	means	stuff	email	ve	off	less	paul	web	five	become	does	problem	worth	told	work	interview	after	order	office	then	them	network	created	another	john	do	away	com	easy	voice	hand	photo	thanks	night	security	comments	marketing	post	months	way	true	reality	update	together	p	change	market	live	car	write	use	remember	still	non	january	space	shows	care	friend	than	online	america	only	between	article	comes	learning	language	these	media	thinking	real	read	early	business	lot	building	since	month	very	family	ask	help	soon	actually	event	american	pretty	during	x	close	won	probably	both	whatever	else	lives	look	while	smart	ready	used	game	computer	doesn	e	youtube	go	facebook	products	camera	started	meet	links	software	including	front	times	final	need	able	based	course	she	state	key	police	well	reasons	martin	page	twitter	home	monday	he	piece	star	amp	companies	across	even	ever	never	luther	call	tell	give	answer	president	before	personal	better	went	side	content	isn	user	features	matter	seen	don	m	stop	bad	said	against	appeared	three	website	make	left	human	yet	save	deal	popular	down	digital	weekend	daily	finally	me	did	run	making	may	man	maybe	talk	nbsp	group	interesting	living	thing	think	little	anyone	were	especially	shot	show	behind	get	morning	enough	reading	jr	according	mark	those	sound	different	pay	same	speech	money	images	users	videos	again	important	u	public	search	published	two	hour	share	needs	maps	coming	through	good	everyone	house	hard	idea	done	least	part	believe	b	built	build	most	please	mean	point	simple	create	meeting	understand	fun	itself	spent	spend	big	bit	google	often	forward	single	giving	others	private	something	ll	day	text	taking	almost	helped	center	thought	latest	add	happens	buy	brand	minutes	special	under	every	would	phone	must	keep	end	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	amazon	despite	report	full	news	several	everything	donald	no	focus	cool	level	posts	says	goes	today	trump	information	happened	name	turn	place	white	any	ideas	sure	later	hear	review	come	case	myself	someone	events	week	without	blog	oh	racist	chinese	follow	program	woman	far	list	ten	design	version	rather	short	might	health	feel	story	store	king	kind	nothing	his	him	wrote	art	recently	attention	questions	customers	question	long	called	nice	once	find	apple	app	few	women	six	instead	light	looks	product	related	our	york	conversation	which	who	why	words	view	stories	job	last	gets	book	know	because	lead	getting	own	friends	apps	made	whether	other
Schneier on Security	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0
PaulStamatiou.com - Technology, Design and Photography	4	11	16	39	3	3	10	15	14	54	8	4	68	1	8	26	38	9	7	3	22	5	8	96	23	31	91	10	25	21	0	4	12	22	4	1	27	6	91	4	22	9	53	17	40	19	24	5	4	15	16	3	12	7	7	11	26	20	7	39	38	23	1	42	0	21	52	17	38	1	7	11	3	45	10	5	6	0	8	16	6	9	17	2	22	3	2	6	13	24	21	21	0	28	2	2	82	11	11	20	42	6	26	12	6	5	2	57	2	0	34	7	27	13	11	2	4	12	29	2	0	5	16	65	25	11	12	39	29	13	8	46	52	30	22	22	3	2	4	36	1	8	9	9	44	53	14	9	23	1	5	24	6	4	2	65	0	46	2	7	56	48	37	9	32	1	79	13	24	16	28	8	40	4	5	1	2	2	39	13	48	14	1	21	4	13	17	2	9	4	11	102	4	47	9	4	6	44	4	5	45	7	0	117	27	13	11	3	1	37	9	14	29	52	12	3	9	19	37	22	30	3	11	15	5	38	4	0	11	14	46	8	17	18	13	5	7	5	51	76	7	8	41	5	25	16	5	0	27	2	6	25	26	1	1	11	10	5	24	2	64	26	7	18	0	8	6	0	41	4	1	42	58	19	0	19	4	0	28	1	11	43	4	17	0	20	13	13	4	2	31	6	66	7	9	7	3	28	9	2	5	47	56	3	4	10	4	2	9	69	43	8	0	8	8	4	15	33	17	1	10	5	75	28	37	14	19	1	3	5	6	9	9	7	22	26	6	1	45	8	4	13	11	127	3	21	46	0	0	3	20	3	8	4	36	0	3	8	20	14	9	7	0	3	4	3	35	5	17	12	2	6	33	32	10	11	18	9	22	9	40	3	14	14	26	28	6	3	21	22	20	4	5	6	8	4	4	11	47	76	17	9	10	1	6	0	52	56	26	1	11	8	4	2	19	4	18	6	7	2	18	2	4	26	116	43	9	21	22	15	18	26	7	32	16	21	11	35	6	6	26	3	28	4	0	12	18	9	19	0	64	3	4	9	10	4	7	1	0	2	3	14	16	17	3	56	6	20	18	1	26	17	15	10	6	2	21	26	14	4	0	0	5	5	1	5	16	2	83	15	10	12	24	0	21	9	8	0	5	9	18	3	12	6	9	3	13	5	3	19	14	8	5	31	4	50	65	1	2	25	7	2	13	6	56	3	5	38	8	25	3	7	5	7	41	8	36	27	9	3	32	42	8	11	20	2	57
Search Engine Roundtable	0	0	0	5	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	3	0	1	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	3	0	1	1	0	0	0	0	0	0	4	0	1	1	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
We Make Money Not Art	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
Copyblogger	0	2	0	3	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	1	0	1	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	11	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	9	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	1	0	2	0	2	0	2	5	0	0	0	0	0	1	2	0	0	0	0	10	2	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	4	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	2	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0
John Battelle's Search Blog	0	0	1	4	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	8	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	2	0	2	0	1	0	0	0	1	0	0	0	4	0	3	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	2	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	20	5	0	0	1	0	0	0	0	1	0	0	0	21	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	0	0	0	0	0	5	0	0	0	0	20	1	0	1	0	0	0	0	3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	0	2	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	2
Engadget RSS Feed	0	0	0	1	1	1	0	0	0	2	0	0	1	0	0	1	0	3	1	0	1	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	2	0	2	0	0	1	0	1	0	0	0	0	1	1	1	2	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	0	5	0	0	12	0	1	0	0	1	0	0	0	1	0	2	2	0	0	0	0	0	0	1	0	1	0	0	1	5	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	3	0	0	0	1	0	1	2	0	0	0	4	0	3	1	0	0	0	1	0	0	2	0	1	0	1	2	0	0	1	0	0	0	0	3	1	1	0	0	0	1	0	1	6	0	0	0	0	0	1	1	1	0	0	4	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1	1	2	1	1	0	1	0	2	4	2	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	6	0	2	1	0	0	1	0	4	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	0	2	2	0	1	0	2	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	1	1	0	0	0	2	1	0	0	0	0	1	0	3	0	0	0	1	0	0	3	0	1	1	0	0	0	0	1	2	2	0	0	0	0	0	0	0	1	0	3	1	0	1	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	2	1	0	0	3	1	4	1	3	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	1	0	0
TMZ.com	0	0	1	0	2	3	4	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	1	1	0	2	2	4	2	0	0	4	0	1	0	6	0	1	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1	2	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	5	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	2	1	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	1	12	0	5	1	0	0	1	0	0	0	0	2	0	0	1	3	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	8	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	2	0	0	0	0	0	1	0	0	0	0	4	1	2	0	2	0	0
Wonkette	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NewsBusters	0	0	1	1	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0	1	8	3	8	4	2	0	5	1	2	0	0	2	9	1	5	0	0	0	4	2	0	3	2	0	2	1	0	2	0	1	3	1	4	0	0	0	0	2	2	0	0	6	0	4	0	2	1	0	6	0	2	1	2	4	0	0	1	2	0	0	0	0	0	0	8	1	2	1	1	0	0	2	2	0	0	3	1	4	1	0	0	1	2	2	0	0	0	0	4	3	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	2	3	0	0	0	0	0	2	0	2	0	1	1	0	0	2	1	1	1	9	2	0	3	1	4	0	1	3	1	1	2	0	1	0	0	0	1	0	5	0	5	0	3	1	0	0	0	107	0	0	2	0	0	1	0	2	0	11	0	0	4	0	3	0	3	7	1	1	0	0	1	2	13	0	3	0	0	0	1	0	5	0	3	3	1	2	0	2	0	3	0	5	0	0	1	1	3	0	0	0	4	7	0	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	16	0	1	0	1	0	10	3	0	2	3	0	2	1	0	0	7	21	1	1	0	1	0	2	1	0	2	1	0	0	1	22	1	0	1	4	0	0	0	0	0	0	2	0	1	0	1	1	4	2	4	1	4	7	0	1	2	3	0	1	0	2	0	6	2	3	0	1	1	0	0	0	38	2	0	0	1	1	0	2	7	0	4	7	1	4	5	2	1	2	0	3	1	0	1	3	1	2	1	0	0	0	1	0	1	2	0	0	4	4	0	0	0	0	1	2	0	5	3	0	1	1	2	2	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	2	0	8	1	0	3	0	2	0	1	0	0	0	0	2	3	0	4	7	3	1	0	2	2	1	0	1	0	0	2	1	1	3	2	1	1	0	5	5	1	14	0	1	4	8	0	1	0	0	2	0	2	45	0	3	0	2	2	5	1	0	3	1	0	3	2	1	0	2	0	6	1	1	0	4	0	0	2	1	5	0	0	0	0	0	0	0	0	0	4	1	5	4	0	18	6	2	1	2	1	3	1	1	2	1	0	2	0	0	1	0	4	0	0	1	0	0	1	2	8	2	7	9	0	2	0	0	5	1	2	2	1	2	1	1	2	0	0	1	1	7
